Open time,Open,High,Low,Close,Volume,Trade count,VWAP
2023-06-20 17:00:00,367.08,367.7,366.4201,366.524,4116488.0,37236,367.1305
2023-06-20 18:00:00,366.54,367.32,366.37,366.8188,3925847.0,29576,366.798
2023-06-20 19:00:00,366.82,367.735,366.3606,366.935,9084482.0,59349,367.0635
2023-06-21 14:00:00,363.975,364.21,361.82,362.275,8900458.0,83898,363.3237
2023-06-21 15:00:00,362.26,362.99,360.96,361.61,9095517.0,68127,362.4698
2023-06-21 16:00:00,361.61,363.1,361.53,362.39,6836027.0,44723,363.4288
2023-06-21 17:00:00,362.4,363.18,361.91,363.14,3977569.0,30858,362.9093
2023-06-21 18:00:00,363.15,364.52,362.91,364.0613,5712592.0,42174,364.1404
2023-06-21 19:00:00,364.03,364.04,361.73,362.02,10341213.0,67386,363.4384
2023-06-22 14:00:00,363.11,364.69,362.43,363.06,9631882.0,73794,363.6457
2023-06-22 15:00:00,363.05,365.45,363.03,364.9,7137843.0,50046,364.3348
2023-06-22 16:00:00,364.91,364.935,363.752,364.14,4505268.0,31902,364.0083
2023-06-22 17:00:00,364.14,364.84,363.0806,364.785,3469039.0,30112,363.9393
2023-06-22 18:00:00,364.79,365.68,364.36,365.63,3769862.0,33101,364.9523
2023-06-22 19:00:00,365.64,366.33,364.635,366.2,9966440.0,61796,365.4083
2023-06-23 14:00:00,361.66,363.2,361.17,362.35,9514667.0,64329,362.7492
2023-06-23 15:00:00,362.36,362.85,361.35,362.545,5012862.0,47619,362.3493
2023-06-23 16:00:00,362.55,364.2,362.5399,364.05,4589326.0,37818,363.5158
2023-06-23 17:00:00,364.05,364.88,363.7761,364.1799,3627352.0,29917,364.3954
2023-06-23 18:00:00,364.18,364.35,362.33,362.48,4001806.0,35898,363.3021
2023-06-23 19:00:00,362.48,363.23,361.89,362.55,8665364.0,66580,362.6927
2023-06-26 14:00:00,364.49,364.84,361.91,363.15,7360943.0,62933,363.5493
2023-06-26 15:00:00,363.14,363.185,360.67,361.51,7057070.0,54662,361.4882
2023-06-26 16:00:00,361.5,361.53,358.25,359.13,8148864.0,68594,359.4765
2023-06-26 17:00:00,359.135,359.48,358.46,358.792,5219844.0,42202,359.1561
2023-06-26 18:00:00,358.79,359.95,358.5907,359.5104,4053513.0,36024,359.2928
2023-06-26 19:00:00,359.53,359.93,357.59,357.73,11534466.0,80298,359.0156
2023-06-27 14:00:00,360.18,361.67,358.51,359.64,6501512.0,64084,359.5144
2023-06-27 15:00:00,359.67,361.51,358.551,361.41,6368574.0,47104,359.9151
2023-06-27 16:00:00,361.42,362.82,361.25,362.47,6217580.0,41144,361.1571
2023-06-27 17:00:00,362.46,363.96,362.04,363.94,5683223.0,38487,362.0597
2023-06-27 18:00:00,363.955,364.41,363.61,363.72,5250983.0,37728,363.7505
2023-06-27 19:00:00,363.73,364.57,363.65,363.86,8224470.0,62679,363.8855
2023-06-28 14:00:00,363.46,366.22,362.31,365.53,7265368.0,67647,364.6625
2023-06-28 15:00:00,365.53,365.94,364.02,365.6809,5634417.0,42834,365.1015
2023-06-28 16:00:00,365.67,366.52,362.6901,363.37,6600322.0,57702,364.4568
2023-06-28 17:00:00,363.36,364.56,362.86,363.81,5222139.0,40193,363.8253
2023-06-28 18:00:00,363.8199,364.83,363.7,364.2,3328444.0,28096,364.3233
2023-06-28 19:00:00,364.22,364.59,362.82,364.58,8597703.0,52201,363.8475
2023-06-29 14:00:00,363.81,364.6,362.14,363.1138,8732650.0,82480,363.2044
2023-06-29 15:00:00,363.1284,364.69,362.98,364.3775,5051814.0,44796,364.0605
2023-06-29 16:00:00,364.38,364.78,363.2575,363.54,4764771.0,34426,364.0733
2023-06-29 17:00:00,363.56,363.9,362.76,362.87,4906623.0,31264,363.3396
2023-06-29 18:00:00,362.86,363.33,362.28,363.3099,6355910.0,33803,362.781
2023-06-29 19:00:00,363.31,363.96,362.825,363.85,5834765.0,46235,363.4669
2023-06-30 14:00:00,369.09,370.49,368.95,369.47,11886864.0,82842,369.5525
2023-06-30 15:00:00,369.47,370.06,368.3,368.97,8104370.0,55815,369.211
2023-06-30 16:00:00,368.98,370.1,368.7505,370.01,6789686.0,34999,369.2784
2023-06-30 17:00:00,370.0164,370.1399,369.61,370.0201,3419882.0,30703,369.8921
2023-06-30 18:00:00,370.03,370.21,369.53,369.805,3900220.0,31377,369.8871
2023-06-30 19:00:00,369.81,370.36,369.39,369.42,9551442.0,72140,369.7325
2023-07-03 14:00:00,370.5,370.8601,369.0301,369.14,5145447.0,57360,369.872
2023-07-03 15:00:00,369.16,369.59,368.97,369.3062,4102418.0,39001,369.2511
2023-07-03 16:00:00,369.3,370.3801,369.1808,370.34,4894401.0,42432,369.8144
2023-07-03 17:00:00,370.35,370.37,370.29,370.29,91963.0,26,370.2916
2023-07-05 14:00:00,370.62,372.01,370.44,371.595,5849512.0,54717,371.294
2023-07-05 15:00:00,371.6,371.61,369.97,370.09,4799740.0,39218,370.7125
2023-07-05 16:00:00,370.09,370.67,369.76,370.38,3230960.0,31598,370.1724
2023-07-05 17:00:00,370.39,370.761,370.13,370.53,1949344.0,20045,370.4913
2023-07-05 18:00:00,370.535,370.95,369.425,370.66,5551124.0,40584,370.314
2023-07-05 19:00:00,370.66,371.05,370.22,370.28,5581553.0,42164,370.6058
2023-07-06 14:00:00,365.68,366.07,364.52,364.8099,8889763.0,78857,365.6266
2023-07-06 15:00:00,364.82,366.06,364.57,365.67,5884353.0,49070,365.389
2023-07-06 16:00:00,365.68,367.13,365.6507,367.0399,5151574.0,37034,366.5503
2023-07-06 17:00:00,367.04,367.565,366.44,367.565,4378194.0,35185,367.2721
2023-07-06 18:00:00,367.57,367.91,366.93,367.8102,3656607.0,27332,367.4145
2023-07-06 19:00:00,367.8299,367.89,367.17,367.475,6878561.0,44907,367.7003
2023-07-07 14:00:00,368.45,368.57,366.21,367.6043,6646885.0,59192,367.4418
2023-07-07 15:00:00,367.57,368.62,367.5,368.6,4238510.0,29299,367.9413
2023-07-07 16:00:00,368.6,369.94,368.58,369.8407,5266697.0,42232,369.1705
2023-07-07 17:00:00,369.85,370.48,369.46,369.74,5042893.0,36888,369.8776
2023-07-07 18:00:00,369.7475,369.795,368.85,369.07,3714588.0,28611,369.3945
2023-07-07 19:00:00,369.08,369.115,366.01,366.25,11824433.0,65144,367.2851
2023-07-10 14:00:00,364.6497,366.7876,364.55,365.43,8313370.0,64621,365.7077
2023-07-10 15:00:00,365.42,366.09,364.51,364.67,5242110.0,44246,365.3766
2023-07-10 16:00:00,364.67,365.635,363.41,365.47,5483872.0,44069,364.4607
2023-07-10 17:00:00,365.48,366.22,365.21,365.53,4450882.0,31289,365.7098
2023-07-10 18:00:00,365.54,366.51,365.1,366.4,5626466.0,33118,366.0352
2023-07-10 19:00:00,366.41,366.47,365.48,366.46,7019881.0,43012,366.0423
2023-07-11 14:00:00,365.96,367.06,364.62,366.665,6875459.0,57060,365.951
2023-07-11 15:00:00,366.68,367.63,365.89,367.63,4663762.0,39895,366.5739
2023-07-11 16:00:00,367.62,367.95,366.31,367.1168,5091087.0,33282,367.1959
2023-07-11 17:00:00,367.12,367.33,366.17,366.85,2595940.0,20996,366.7576
2023-07-11 18:00:00,366.84,367.11,365.72,367.01,3390025.0,28027,366.4195
2023-07-11 19:00:00,367.0,368.632,366.69,368.165,6987595.0,51382,367.7168
2023-07-12 14:00:00,373.11,374.19,372.76,373.05,8974313.0,79989,373.484
2023-07-12 15:00:00,373.05,373.46,370.3,370.705,9511240.0,68328,371.815
2023-07-12 16:00:00,370.7,372.45,370.43,371.9575,7657115.0,50915,371.2174
2023-07-12 17:00:00,371.98,373.1,371.7,372.95,5035446.0,35408,372.3879
2023-07-12 18:00:00,372.94,373.495,372.605,372.89,4561811.0,34060,373.0695
2023-07-12 19:00:00,372.88,373.34,372.135,372.9,10657661.0,63558,372.5891
2023-07-13 14:00:00,376.74,376.8895,375.6,376.81,7579129.0,62528,376.3508
2023-07-13 15:00:00,376.82,377.41,376.18,377.325,4538616.0,41124,376.7842
2023-07-13 16:00:00,377.32,378.05,377.18,377.795,5731008.0,43850,377.4283
2023-07-13 17:00:00,377.8,378.28,377.45,378.02,4064923.0,33305,377.6916
2023-07-13 18:00:00,378.02,378.642,377.93,378.56,4644023.0,35724,378.3627
2023-07-13 19:00:00,378.56,379.99,378.48,379.16,9875477.0,72749,379.2209
2023-07-14 14:00:00,381.63,382.86,380.34,381.16,11406812.0,94522,381.7088
2023-07-14 15:00:00,381.1882,382.2499,381.04,381.86,5401887.0,41748,381.66
2023-07-14 16:00:00,381.865,381.9,380.385,380.62,5525444.0,40959,380.9263
2023-07-14 17:00:00,380.62,380.665,379.65,380.03,5462231.0,39695,380.1769
2023-07-14 18:00:00,380.04,380.5801,378.9,378.96,4735746.0,41109,379.6556
2023-07-14 19:00:00,378.95,379.16,378.18,379.1,10179393.0,73702,378.6769
2023-07-17 14:00:00,380.065,380.85,379.82,380.44,6133287.0,57006,380.3602
2023-07-17 15:00:00,380.47,381.77,380.09,381.68,4541577.0,38533,380.8734
2023-07-17 16:00:00,381.68,381.7201,380.56,381.41,3031038.0,29362,380.9815
2023-07-17 17:00:00,381.42,382.03,381.02,381.9905,2607012.0,25753,381.502
2023-07-17 18:00:00,381.99,382.38,381.71,382.14,3798366.0,29711,382.0413
2023-07-17 19:00:00,382.15,383.5,382.075,382.6,9243997.0,69332,382.5223
2023-07-18 14:00:00,381.09,382.6411,380.43,381.32,6991925.0,59079,381.0635
2023-07-18 15:00:00,381.33,383.73,380.92,383.5588,8736079.0,70618,382.3041
2023-07-18 16:00:00,383.56,384.67,383.22,384.1727,8120278.0,68857,383.951
2023-07-18 17:00:00,384.19,385.281,384.1401,385.275,4692266.0,37249,384.858
2023-07-18 18:00:00,385.28,386.705,385.19,386.515,6304358.0,43417,386.1549
2023-07-18 19:00:00,386.52,387.13,385.71,385.76,9069061.0,71216,386.2992
2023-07-19 14:00:00,386.535,387.54,385.79,386.5199,7591367.0,70318,386.5234
2023-07-19 15:00:00,386.52,387.655,386.26,387.0897,7351038.0,44111,386.8224
2023-07-19 16:00:00,387.07,387.98,385.215,385.8388,10620135.0,77170,386.5961
2023-07-19 17:00:00,385.85,385.9393,384.69,385.17,5645042.0,45008,385.2104
2023-07-19 18:00:00,385.18,385.37,384.3,385.3,5323914.0,42155,384.9217
